,,Left,Left,Left,Left,Left,Right,Right,Right,Right,Right
,,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
fe_03_00005,2,,,,,,,,,,
fe_03_00005,4,,,,,,,,,,
fe_03_00005,6,,,,,,,,,,
fe_03_00005,8,,,,,,,,,,
fe_03_00006,2,,,,,,,,,,
fe_03_00006,4,,,,,,,,,,
fe_03_00006,6,,,,,,,,,,
fe_03_00006,8,,,,,,,,,,
fe_03_00007,2,,,,,,,,,,
fe_03_00007,4,,,,,,,,,,
fe_03_00007,6,68.0,58.0,50.0,72.0,63.0,60.0,19.0,89.0,36.0,50.0
fe_03_00007,8,,,,,,,,,,
fe_03_00008,2,,,,,,,,,,
fe_03_00008,4,,,,,,,,,,
fe_03_00008,6,,,,,,,,,,
fe_03_00008,8,,,,,,,,,,
fe_03_00009,2,,,,,,,,,,
fe_03_00009,4,,,,,,,,,,
fe_03_00009,6,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
fe_03_00009,8,,,,,,,,,,
fe_03_00010,2,,,,,,,,,,
fe_03_00010,4,,,,,,,,,,
fe_03_00010,6,,,,,,,,,,
fe_03_00010,8,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
fe_03_00011,2,,,,,,,,,,
fe_03_00011,4,,,,,,,,,,
fe_03_00011,6,,,,,,,,,,
fe_03_00011,8,,,,,,,,,,
fe_03_00012,2,,,,,,,,,,
fe_03_00012,4,,,,,,,,,,
fe_03_00012,6,50.0,73.0,24.0,80.0,50.0,50.0,75.0,50.0,35.0,50.0
fe_03_00012,8,,,,,,,,,,
fe_03_00013,2,,,,,,,,,,
fe_03_00013,4,,,,,,,,,,
fe_03_00013,6,78.0,18.0,50.0,50.0,88.0,50.0,50.0,17.0,50.0,96.0
fe_03_00013,8,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
fe_03_00014,2,,,,,,,,,,
fe_03_00014,4,,,,,,,,,,
fe_03_00014,6,,,,,,,,,,
fe_03_00014,8,,,,,,,,,,
fe_03_00015,2,,,,,,,,,,
fe_03_00015,4,,,,,,,,,,
fe_03_00015,6,,,,,,,,,,
fe_03_00015,8,,,,,,,,,,
fe_03_00016,2,,,,,,,,,,
fe_03_00016,4,,,,,,,,,,
fe_03_00016,6,,,,,,,,,,
fe_03_00016,8,,,,,,,,,,
fe_03_00017,2,,,,,,,,,,
fe_03_00017,4,,,,,,,,,,
fe_03_00017,6,,,,,,,,,,
fe_03_00017,8,,,,,,,,,,
fe_03_00018,2,,,,,,,,,,
fe_03_00018,4,,,,,,,,,,
fe_03_00018,6,,,,,,,,,,
fe_03_00018,8,,,,,,,,,,
fe_03_00019,2,,,,,,,,,,
fe_03_00019,4,,,,,,,,,,
fe_03_00019,6,,,,,,,,,,
fe_03_00019,8,,,,,,,,,,
fe_03_00020,2,,,,,,,,,,
fe_03_00020,4,,,,,,,,,,
fe_03_00020,6,,,,,,,,,,
fe_03_00020,8,,,,,,,,,,
fe_03_00021,2,,,,,,,,,,
fe_03_00021,4,,,,,,,,,,
fe_03_00021,6,,,,,,,,,,
fe_03_00021,8,,,,,,,,,,
fe_03_00022,2,,,,,,,,,,
fe_03_00022,4,,,,,,,,,,
fe_03_00022,6,,,,,,,,,,
fe_03_00022,8,,,,,,,,,,
fe_03_00023,2,,,,,,,,,,
fe_03_00023,4,,,,,,,,,,
fe_03_00023,6,,,,,,,,,,
fe_03_00023,8,,,,,,,,,,
fe_03_00024,2,,,,,,,,,,
fe_03_00024,4,,,,,,,,,,
fe_03_00024,6,,,,,,,,,,
fe_03_00024,8,,,,,,,,,,
fe_03_00025,2,,,,,,,,,,
fe_03_00025,4,,,,,,,,,,
fe_03_00025,6,,,,,,,,,,
fe_03_00025,8,,,,,,,,,,
fe_03_00026,2,,,,,,,,,,
fe_03_00026,4,,,,,,,,,,
fe_03_00026,6,,,,,,,,,,
fe_03_00026,8,,,,,,,,,,
fe_03_00027,2,,,,,,,,,,
fe_03_00027,4,,,,,,,,,,
fe_03_00027,6,,,,,,,,,,
fe_03_00027,8,,,,,,,,,,
fe_03_00028,2,,,,,,,,,,
fe_03_00028,4,,,,,,,,,,
fe_03_00028,6,,,,,,,,,,
fe_03_00028,8,,,,,,,,,,
fe_03_00029,2,,,,,,,,,,
fe_03_00029,4,,,,,,,,,,
fe_03_00029,6,,,,,,,,,,
fe_03_00029,8,,,,,,,,,,
fe_03_00030,2,,,,,,,,,,
fe_03_00030,4,,,,,,,,,,
fe_03_00030,6,,,,,,,,,,
fe_03_00030,8,,,,,,,,,,
fe_03_00031,2,,,,,,,,,,
fe_03_00031,4,,,,,,,,,,
fe_03_00031,6,,,,,,,,,,
fe_03_00031,8,,,,,,,,,,
fe_03_00032,2,,,,,,,,,,
fe_03_00032,4,,,,,,,,,,
fe_03_00032,6,,,,,,,,,,
fe_03_00032,8,,,,,,,,,,
fe_03_00033,2,,,,,,,,,,
fe_03_00033,4,,,,,,,,,,
fe_03_00033,6,,,,,,,,,,
fe_03_00033,8,,,,,,,,,,
fe_03_00034,2,,,,,,,,,,
fe_03_00034,4,,,,,,,,,,
fe_03_00034,6,,,,,,,,,,
fe_03_00034,8,,,,,,,,,,
fe_03_00035,2,,,,,,,,,,
fe_03_00035,4,,,,,,,,,,
fe_03_00035,6,,,,,,,,,,
fe_03_00035,8,,,,,,,,,,
fe_03_00036,2,,,,,,,,,,
fe_03_00036,4,,,,,,,,,,
fe_03_00036,6,,,,,,,,,,
fe_03_00036,8,,,,,,,,,,
fe_03_00037,2,,,,,,,,,,
fe_03_00037,4,,,,,,,,,,
fe_03_00037,6,,,,,,,,,,
fe_03_00037,8,,,,,,,,,,
fe_03_00038,2,,,,,,,,,,
fe_03_00038,4,,,,,,,,,,
fe_03_00038,6,,,,,,,,,,
fe_03_00038,8,,,,,,,,,,
fe_03_00039,2,,,,,,,,,,
fe_03_00039,4,,,,,,,,,,
fe_03_00039,6,,,,,,,,,,
fe_03_00039,8,,,,,,,,,,
fe_03_00040,2,,,,,,,,,,
fe_03_00040,4,,,,,,,,,,
fe_03_00040,6,,,,,,,,,,
fe_03_00040,8,,,,,,,,,,
fe_03_00041,2,,,,,,,,,,
fe_03_00041,4,,,,,,,,,,
fe_03_00041,6,,,,,,,,,,
fe_03_00041,8,,,,,,,,,,
fe_03_00042,2,,,,,,,,,,
fe_03_00042,4,,,,,,,,,,
fe_03_00042,6,,,,,,,,,,
fe_03_00042,8,,,,,,,,,,
fe_03_00043,2,,,,,,,,,,
fe_03_00043,4,,,,,,,,,,
fe_03_00043,6,,,,,,,,,,
fe_03_00043,8,,,,,,,,,,
fe_03_00044,2,,,,,,,,,,
fe_03_00044,4,,,,,,,,,,
fe_03_00044,6,,,,,,,,,,
fe_03_00044,8,,,,,,,,,,
fe_03_00045,2,,,,,,,,,,
fe_03_00045,4,,,,,,,,,,
fe_03_00045,6,,,,,,,,,,
fe_03_00045,8,,,,,,,,,,
fe_03_00046,2,,,,,,,,,,
fe_03_00046,4,,,,,,,,,,
fe_03_00046,6,,,,,,,,,,
fe_03_00046,8,,,,,,,,,,
fe_03_00047,2,,,,,,,,,,
fe_03_00047,4,,,,,,,,,,
fe_03_00047,6,,,,,,,,,,
fe_03_00047,8,,,,,,,,,,
fe_03_00048,2,,,,,,,,,,
fe_03_00048,4,,,,,,,,,,
fe_03_00048,6,,,,,,,,,,
fe_03_00048,8,,,,,,,,,,
fe_03_00049,2,,,,,,,,,,
fe_03_00049,4,,,,,,,,,,
fe_03_00049,6,,,,,,,,,,
fe_03_00049,8,,,,,,,,,,
fe_03_00050,2,,,,,,,,,,
fe_03_00050,4,,,,,,,,,,
fe_03_00050,6,,,,,,,,,,
fe_03_00050,8,,,,,,,,,,
fe_03_00051,2,,,,,,,,,,
fe_03_00051,4,,,,,,,,,,
fe_03_00051,6,,,,,,,,,,
fe_03_00051,8,,,,,,,,,,
fe_03_00052,2,,,,,,,,,,
fe_03_00052,4,,,,,,,,,,
fe_03_00052,6,,,,,,,,,,
fe_03_00052,8,,,,,,,,,,
fe_03_00053,2,,,,,,,,,,
fe_03_00053,4,,,,,,,,,,
fe_03_00053,6,,,,,,,,,,
fe_03_00053,8,,,,,,,,,,
fe_03_00054,2,,,,,,,,,,
fe_03_00054,4,,,,,,,,,,
fe_03_00054,6,,,,,,,,,,
fe_03_00054,8,,,,,,,,,,
fe_03_00055,2,,,,,,,,,,
fe_03_00055,4,,,,,,,,,,
fe_03_00055,6,,,,,,,,,,
fe_03_00055,8,,,,,,,,,,
fe_03_00056,2,,,,,,,,,,
fe_03_00056,4,,,,,,,,,,
fe_03_00056,6,,,,,,,,,,
fe_03_00056,8,,,,,,,,,,
fe_03_00057,2,,,,,,,,,,
fe_03_00057,4,,,,,,,,,,
fe_03_00057,6,,,,,,,,,,
fe_03_00057,8,,,,,,,,,,
fe_03_00058,2,,,,,,,,,,
fe_03_00058,4,,,,,,,,,,
fe_03_00058,6,,,,,,,,,,
fe_03_00058,8,,,,,,,,,,
fe_03_00059,2,,,,,,,,,,
fe_03_00059,4,,,,,,,,,,
fe_03_00059,6,,,,,,,,,,
fe_03_00059,8,,,,,,,,,,
fe_03_00060,2,,,,,,,,,,
fe_03_00060,4,,,,,,,,,,
fe_03_00060,6,,,,,,,,,,
fe_03_00060,8,,,,,,,,,,
fe_03_00061,2,,,,,,,,,,
fe_03_00061,4,,,,,,,,,,
fe_03_00061,6,,,,,,,,,,
fe_03_00061,8,,,,,,,,,,
fe_03_00062,2,,,,,,,,,,
fe_03_00062,4,,,,,,,,,,
fe_03_00062,6,,,,,,,,,,
fe_03_00062,8,,,,,,,,,,
fe_03_00063,2,,,,,,,,,,
fe_03_00063,4,,,,,,,,,,
fe_03_00063,6,,,,,,,,,,
fe_03_00063,8,,,,,,,,,,
fe_03_00064,2,,,,,,,,,,
fe_03_00064,4,,,,,,,,,,
fe_03_00064,6,,,,,,,,,,
fe_03_00064,8,,,,,,,,,,
fe_03_00065,2,,,,,,,,,,
fe_03_00065,4,,,,,,,,,,
fe_03_00065,6,,,,,,,,,,
fe_03_00065,8,,,,,,,,,,
fe_03_00066,2,,,,,,,,,,
fe_03_00066,4,,,,,,,,,,
fe_03_00066,6,,,,,,,,,,
fe_03_00066,8,,,,,,,,,,
fe_03_00067,2,,,,,,,,,,
fe_03_00067,4,,,,,,,,,,
fe_03_00067,6,,,,,,,,,,
fe_03_00067,8,,,,,,,,,,
fe_03_00068,2,,,,,,,,,,
fe_03_00068,4,,,,,,,,,,
fe_03_00068,6,,,,,,,,,,
fe_03_00068,8,,,,,,,,,,
fe_03_00069,2,,,,,,,,,,
fe_03_00069,4,,,,,,,,,,
fe_03_00069,6,,,,,,,,,,
fe_03_00069,8,,,,,,,,,,
fe_03_00070,2,,,,,,,,,,
fe_03_00070,4,,,,,,,,,,
fe_03_00070,6,,,,,,,,,,
fe_03_00070,8,,,,,,,,,,
fe_03_00071,2,,,,,,,,,,
fe_03_00071,4,,,,,,,,,,
fe_03_00071,6,,,,,,,,,,
fe_03_00071,8,,,,,,,,,,
fe_03_00072,2,,,,,,,,,,
fe_03_00072,4,,,,,,,,,,
fe_03_00072,6,,,,,,,,,,
fe_03_00072,8,,,,,,,,,,
fe_03_00073,2,,,,,,,,,,
fe_03_00073,4,,,,,,,,,,
fe_03_00073,6,,,,,,,,,,
fe_03_00073,8,,,,,,,,,,
fe_03_00074,2,,,,,,,,,,
fe_03_00074,4,,,,,,,,,,
fe_03_00074,6,,,,,,,,,,
fe_03_00074,8,,,,,,,,,,
fe_03_00075,2,,,,,,,,,,
fe_03_00075,4,,,,,,,,,,
fe_03_00075,6,,,,,,,,,,
fe_03_00075,8,,,,,,,,,,
fe_03_00076,2,,,,,,,,,,
fe_03_00076,4,,,,,,,,,,
fe_03_00076,6,,,,,,,,,,
fe_03_00076,8,,,,,,,,,,
fe_03_00077,2,,,,,,,,,,
fe_03_00077,4,,,,,,,,,,
fe_03_00077,6,,,,,,,,,,
fe_03_00077,8,,,,,,,,,,
fe_03_00078,2,,,,,,,,,,
fe_03_00078,4,,,,,,,,,,
fe_03_00078,6,,,,,,,,,,
fe_03_00078,8,,,,,,,,,,
fe_03_00079,2,,,,,,,,,,
fe_03_00079,4,,,,,,,,,,
fe_03_00079,6,,,,,,,,,,
fe_03_00079,8,,,,,,,,,,
fe_03_00080,2,,,,,,,,,,
fe_03_00080,4,,,,,,,,,,
fe_03_00080,6,,,,,,,,,,
fe_03_00080,8,,,,,,,,,,
fe_03_00081,2,,,,,,,,,,
fe_03_00081,4,,,,,,,,,,
fe_03_00081,6,,,,,,,,,,
fe_03_00081,8,,,,,,,,,,
fe_03_00082,2,,,,,,,,,,
fe_03_00082,4,,,,,,,,,,
fe_03_00082,6,,,,,,,,,,
fe_03_00082,8,,,,,,,,,,
fe_03_00083,2,,,,,,,,,,
fe_03_00083,4,,,,,,,,,,
fe_03_00083,6,,,,,,,,,,
fe_03_00083,8,,,,,,,,,,
fe_03_00084,2,,,,,,,,,,
fe_03_00084,4,,,,,,,,,,
fe_03_00084,6,,,,,,,,,,
fe_03_00084,8,,,,,,,,,,
fe_03_00085,2,,,,,,,,,,
fe_03_00085,4,,,,,,,,,,
fe_03_00085,6,,,,,,,,,,
fe_03_00085,8,,,,,,,,,,
fe_03_00086,2,,,,,,,,,,
fe_03_00086,4,,,,,,,,,,
fe_03_00086,6,,,,,,,,,,
fe_03_00086,8,,,,,,,,,,
fe_03_00087,2,,,,,,,,,,
fe_03_00087,4,,,,,,,,,,
fe_03_00087,6,,,,,,,,,,
fe_03_00087,8,,,,,,,,,,
fe_03_00088,2,,,,,,,,,,
fe_03_00088,4,,,,,,,,,,
fe_03_00088,6,,,,,,,,,,
fe_03_00088,8,,,,,,,,,,
fe_03_00089,2,,,,,,,,,,
fe_03_00089,4,,,,,,,,,,
fe_03_00089,6,,,,,,,,,,
fe_03_00089,8,,,,,,,,,,
fe_03_00090,2,,,,,,,,,,
fe_03_00090,4,,,,,,,,,,
fe_03_00090,6,,,,,,,,,,
fe_03_00090,8,,,,,,,,,,
fe_03_00091,2,,,,,,,,,,
fe_03_00091,4,,,,,,,,,,
fe_03_00091,6,,,,,,,,,,
fe_03_00091,8,,,,,,,,,,
fe_03_00092,2,,,,,,,,,,
fe_03_00092,4,,,,,,,,,,
fe_03_00092,6,,,,,,,,,,
fe_03_00092,8,,,,,,,,,,
fe_03_00093,2,,,,,,,,,,
fe_03_00093,4,,,,,,,,,,
fe_03_00093,6,,,,,,,,,,
fe_03_00093,8,,,,,,,,,,
fe_03_00094,2,,,,,,,,,,
fe_03_00094,4,,,,,,,,,,
fe_03_00094,6,,,,,,,,,,
fe_03_00094,8,,,,,,,,,,
fe_03_00095,2,,,,,,,,,,
fe_03_00095,4,,,,,,,,,,
fe_03_00095,6,,,,,,,,,,
fe_03_00095,8,,,,,,,,,,
fe_03_00096,2,,,,,,,,,,
fe_03_00096,4,,,,,,,,,,
fe_03_00096,6,,,,,,,,,,
fe_03_00096,8,,,,,,,,,,
fe_03_00097,2,,,,,,,,,,
fe_03_00097,4,,,,,,,,,,
fe_03_00097,6,,,,,,,,,,
fe_03_00097,8,,,,,,,,,,
fe_03_00098,2,,,,,,,,,,
fe_03_00098,4,,,,,,,,,,
fe_03_00098,6,,,,,,,,,,
fe_03_00098,8,,,,,,,,,,
fe_03_00099,2,,,,,,,,,,
fe_03_00099,4,,,,,,,,,,
fe_03_00099,6,,,,,,,,,,
fe_03_00099,8,,,,,,,,,,
